Název školy,Identifikační znak organizace,Resortní identifikátor právnické osoby,Zřizovatel,Typ třídy,Obor,Název oboru,Forma vzdělávání,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Název okresu bydliště studenta,Kód okresu bydliště studenta dle číselníku ČSÚ,Název obce bydliště studenta,Kód obce bydliště studenta dle číselníku ČSÚ,Počty studentů s trvalým bydlištěm v dané obci dojíždějící do vyšší odborné školy,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
"Biskupské gymnázium, církevní základní škola, mateřská škola a základní umělecká| škola Hradec Králové",45978298,691000794,církev,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,345,POINT(50.206304 15.833695),15.833695,50.206304,SPSS253,45,1762598.86477601,6482081.01441809
"Gymnázium Boženy Němcové, Hradec Králové, Pospíšilova tř. 324",62690043,600011666,kraj,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,343,POINT(50.212273 15.838943),15.838943,50.212273,SPSS856,563,1763183.06946369,6483119.26671379
"Gymnázium J. K. Tyla, Hradec Králové, Tylovo nábř. 682",62690060,600011674,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,302,POINT(50.208692 15.82545),15.82545,50.208692,SPSS1018,725,1761681.03557442,6482496.36932817
"Gymnázium, Trutnov, Jiráskovo náměstí 325",60153237,600012875,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,163,POINT(50.565483 15.916574),15.916574,50.565483,SPSS1453,1117,1771824.91285347,6544789.64441048
"Gymnázium, Trutnov, Jiráskovo náměstí 325",60153237,600012875,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,142,POINT(50.565483 15.916574),15.916574,50.565483,SPSS1422,1086,1771824.91285347,6544789.64441048
Krkonošské gymnázium a Střední odborná škola,60153245,600012891,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Vrchlabí,579858,132,POINT(50.618824 15.614026),15.614026,50.618824,SPSS1747,1301,1738145.42355294,6554143.06909367
Městské gymnázium a střední odborná škola Úpice,15037789,691002142,obec,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Úpice,579777,128,POINT(50.508973 16.021489),16.021489,50.508973,SPSS2095,1561,1783503.99723004,6534892.07388323
První soukromé jazykové gymnázium Hradec Králové spol. s r.o.,11583771,600011615,privátní sektor,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,123,POINT(50.217928 15.855364),15.855364,50.217928,SPSS2693,2154,1765011.04682201,6484103.02143297
"Gymnázium a Střední odborná škola pedagogická, |Nová Paka, Kumburská 740",401170,600012026,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Nová Paka,573248,115,POINT(50.495548 15.510644),15.510644,50.495548,SPSS835,542,1726636.99195575,6532542.46394508
"Lepařovo gymnázium, Jičín, Jiráskova 30",87131,600011992,kraj,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Jičín,572659,108,POINT(50.439114 15.351905),15.351905,50.439114,SPSS1874,1371,1708966.24730672,6522672.8226721
"Gymnázium, Dvůr Králové nad Labem, nám. Odboje 304",60153393,600012867,kraj,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Dvůr Králové nad Labem,579203,106,POINT(50.430126 15.812337),15.812337,50.430126,SPSS1281,945,1760221.30309165,6521102.01406319
"Gymnázium, Dobruška, Pulická 779",60884762,600012549,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Dobruška,576271,88,POINT(50.29467 16.150089),16.150089,50.29467,SPSS1222,886,1797819.68374605,6497464.75300681
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,88,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2230,1696,1763391.90482842,6483276.52046972
"Gymnázium Františka Martina Pelcla, Rychnov nad Kněžnou, Hrdinů odboje 36",60884703,600012557,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,576069,82,POINT(50.16283 16.279101),16.279101,50.16283,SPSS976,683,1812181.23389228,6474523.02848931
"Gymnázium Františka Martina Pelcla, Rychnov nad Kněžnou, Hrdinů odboje 36",60884703,600012557,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,576069,75,POINT(50.16283 16.279101),16.279101,50.16283,SPSS926,633,1812181.23389228,6474523.02848931
"Biskupské gymnázium, církevní základní škola, mateřská škola a základní umělecká| škola Hradec Králové",45978298,691000794,církev,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,69,POINT(50.206304 15.833695),15.833695,50.206304,SPSS213,5,1762598.86477601,6482081.01441809
"Lepařovo gymnázium, Jičín, Jiráskova 30",87131,600011992,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Jičín,572659,67,POINT(50.439114 15.351905),15.351905,50.439114,SPSS1822,1319,1708966.24730672,6522672.8226721
Městské gymnázium a střední odborná škola Úpice,15037789,691002142,obec,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,65,POINT(50.508973 16.021489),16.021489,50.508973,SPSS2063,1529,1783503.99723004,6534892.07388323
Městské gymnázium a střední odborná škola Úpice,15037789,691002142,obec,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Trutnov,579025,64,POINT(50.508973 16.021489),16.021489,50.508973,SPSS2083,1549,1783503.99723004,6534892.07388323
"Střední průmyslová škola stavební, Hradec Králové, Pospíšilova tř. 787",62690035,600011658,kraj,běžná třída,3647M01,Stavebnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,60,POINT(50.213739 15.842163),15.842163,50.213739,SPSS4632,2869,1763541.51822405,6483374.28370919
Střední škola a vyšší odborná škola aplikované kybernetiky s.r.o.,11021420,600011631,privátní sektor,běžná třída,1820M01,Informační technologie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,60,POINT(50.203799 15.834331),15.834331,50.203799,SPSS6081,3630,1762669.66397215,6481645.33153869
"Střední průmyslová škola, Střední odborná škola a Střední odborné učiliště, |Hradec Králové",15062848,600011828,kraj,běžná třída,1820M01,Informační technologie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,57,POINT(50.206293 15.836151),15.836151,50.206293,SPSS5194,3103,1762872.2654454,6482079.10118979
"Gymnázium, Dvůr Králové nad Labem, nám. Odboje 304",60153393,600012867,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Dvůr Králové nad Labem,579203,55,POINT(50.430126 15.812337),15.812337,50.430126,SPSS1250,914,1760221.30309165,6521102.01406319
"Masarykova obchodní akademie, Jičín, 17. listopadu 220",87513,600012000,kraj,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Jičín,572659,48,POINT(50.434784 15.352742),15.352742,50.434784,SPSS1947,1444,1709059.42172051,6521916.04297788
"Střední škola vizuální tvorby, s.r.o.",12996050,600011623,privátní sektor,běžná třída,8241M05,Grafický design,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,47,POINT(50.256106 15.854915),15.854915,50.256106,SPSS8492,5455,1764961.06437064,6490747.59320096
Městské gymnázium a střední odborná škola Úpice,15037789,691002142,obec,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Červený Kostelec,573965,41,POINT(50.508973 16.021489),16.021489,50.508973,SPSS2080,1546,1783503.99723004,6534892.07388323
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7531M01,Předškolní a mimoškolní pedagogika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,41,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2549,2015,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7541M01,Sociální činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,40,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2387,1853,1763391.90482842,6483276.52046972
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,40,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2450,1916,1763391.90482842,6483276.52046972
"Střední průmyslová škola, Střední odborná škola a Střední odborné učiliště, |Hradec Králové",15062848,600011828,kraj,běžná třída,2641M01,Elektrotechnika,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,40,POINT(50.2052 15.8331),15.8331,50.2052,SPSS5661,3570,1762532.62967899,6481888.99806747
"Střední škola služeb, obchodu a gastronomie",527939,600011712,kraj,běžná třída,6551H01,Kuchař - číšník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,40,POINT(50.231225 15.847681),15.847681,50.231225,SPSS7542,4505,1764155.77917425,6486416.65278772
První soukromé jazykové gymnázium Hradec Králové spol. s r.o.,11583771,600011615,privátní sektor,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,39,POINT(50.217928 15.855364),15.855364,50.217928,SPSS2645,2106,1765011.04682201,6484103.02143297
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,37,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2599,2065,1764974.75666801,6484198.53274276
"Obchodní akademie, Střední odborná škola a Jazyková škola |s právem státní jazykové zkoušky, Hradec Králové",62690272,600011739,kraj,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,36,POINT(50.213177 15.840819),15.840819,50.213177,SPSS2323,1789,1763391.90482842,6483276.52046972
"Gymnázium, Dobruška, Pulická 779",60884762,600012549,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Opočno,576590,35,POINT(50.29467 16.150089),16.150089,50.29467,SPSS1228,892,1797819.68374605,6497464.75300681
"Hotelová škola Hradec Králové, s.r.o.",62062883,600011771,privátní sektor,běžná třída,6341M01,Ekonomika a podnikání,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,35,POINT(50.211195 15.838259),15.838259,50.211195,SPSS1515,1146,1763106.92693199,6482931.74898341
Krkonošské gymnázium a Střední odborná škola,60153245,600012891,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Vrchlabí,579858,35,POINT(50.618824 15.614026),15.614026,50.618824,SPSS1722,1276,1738145.42355294,6554143.06909367
"Střední průmyslová škola, Střední odborná škola a Střední odborné učiliště, |Hradec Králové",15062848,600011828,kraj,běžná třída,7241M01,Informační služby,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,35,POINT(50.206293 15.836151),15.836151,50.206293,SPSS5524,3433,1762872.2654454,6482079.10118979
"Gymnázium, Střední odborná škola a Vyšší odborná škola, Nový Bydžov",62690221,600011682,kraj,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Nový Bydžov,570508,34,POINT(50.240124 15.489328),15.489328,50.240124,SPSS1399,1063,1724264.10569,6487965.40796385
"Střední průmyslová škola, Střední odborná škola a Střední odborné učiliště, |Hradec Králové",15062848,600011828,kraj,běžná třída,1820M01,Informační technologie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,33,POINT(50.2052 15.8331),15.8331,50.2052,SPSS5573,3482,1762532.62967899,6481888.99806747
"Gymnázium, Střední odborná škola a Vyšší odborná škola, Nový Bydžov",62690221,600011682,kraj,běžná třída,7941K61,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Chlumec nad Cidlinou,570109,31,POINT(50.240124 15.489328),15.489328,50.240124,SPSS1386,1050,1724264.10569,6487965.40796385
"Střední průmyslová škola elektrotechniky a informačních technologií, |Dobruška, Čs. odboje 670",60884746,600012590,kraj,běžná třída,1820M01,Informační technologie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Dobruška,576271,31,POINT(50.288358 16.157929),16.157929,50.288358,SPSS3976,2712,1798692.42855388,6496364.94289247
"Střední průmyslová škola stavební, Hradec Králové, Pospíšilova tř. 787",62690035,600011658,kraj,běžná třída,7842M01,Technické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,30,POINT(50.213739 15.842163),15.842163,50.213739,SPSS4775,3012,1763541.51822405,6483374.28370919
"Gymnázium, Dobruška, Pulická 779",60884762,600012549,kraj,běžná třída,7941K41,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Dobruška,576271,29,POINT(50.29467 16.150089),16.150089,50.29467,SPSS1192,856,1797819.68374605,6497464.75300681
"Gymnázium, Dobruška, Pulická 779",60884762,600012549,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Náchod,CZ0523,Nové Město nad Metují,574279,29,POINT(50.29467 16.150089),16.150089,50.29467,SPSS1212,876,1797819.68374605,6497464.75300681
"Střední škola služeb, obchodu a gastronomie",527939,600011712,kraj,běžná třída,6951H01,Kadeřník,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,29,POINT(50.229043 15.842953),15.842953,50.229043,SPSS7833,4796,1763629.46062177,6486036.9482001
"Obchodní akademie T. G. Masaryka, Kostelec nad Orlicí, Komenského 522",60884711,600012581,kraj,běžná třída,7842M02,Ekonomické lyceum,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,576361,28,POINT(50.124458 16.210084),16.210084,50.124458,SPSS2198,1664,1804498.2965962,6467857.73808972
"Soukromá střední škola podnikatelská - ALTMAN, s.r.o.",60115645,600012093,privátní sektor,běžná třída,6341M01,Ekonomika a podnikání,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Jičín,CZ0522,Jičín,572659,28,POINT(50.437871 15.346557),15.346557,50.437871,SPSS2743,2204,1708370.91066996,6522455.56913105
"Hotelová škola Hradec Králové, s.r.o.",62062883,600011771,privátní sektor,běžná třída,6542M01,Hotelnictví,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,26,POINT(50.211195 15.838259),15.838259,50.211195,SPSS1552,1183,1763106.92693199,6482931.74898341
Městské gymnázium a střední odborná škola Úpice,15037789,691002142,obec,běžná třída,6843M01,Veřejnosprávní činnost,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Úpice,579777,26,POINT(50.508973 16.021489),16.021489,50.508973,SPSS2073,1539,1783503.99723004,6534892.07388323
Městské gymnázium a střední odborná škola Úpice,15037789,691002142,obec,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Trutnov,CZ0525,Batňovice,579041,26,POINT(50.508973 16.021489),16.021489,50.508973,SPSS2084,1550,1783503.99723004,6534892.07388323
"Obchodní akademie, Střední pedagogická škola, Vyšší odborná škola a |Jazyková škola s právem státní jazykové zkoušky, s.r.o.",44445288,600011798,privátní sektor,běžná třída,6341M02,Obchodní akademie,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,26,POINT(50.218477 15.855038),15.855038,50.218477,SPSS2510,1976,1764974.75666801,6484198.53274276
"Střední průmyslová škola, Střední odborná škola a Střední odborné učiliště, |Hradec Králové",15062848,600011828,kraj,běžná třída,2341M01,Strojírenství,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Hradec Králové,CZ0521,Hradec Králové,569810,26,POINT(50.2052 15.8331),15.8331,50.2052,SPSS5612,3521,1762532.62967899,6481888.99806747
"Gymnázium Františka Martina Pelcla, Rychnov nad Kněžnou, Hrdinů odboje 36",60884703,600012557,kraj,běžná třída,7941K81,Gymnázium,denní,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,U Stadionu,1166,č.p.,,51601,https://www.vosrk.cz/,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,576361,25,POINT(50.16283 16.279101),16.279101,50.16283,SPSS984,691,1812181.23389228,6474523.02848931
